title,slug,oldCategory,newSection,newFormat,reason,state
"You Can Break the Rules, but Only for Pride","you-can-break-the-rules-but-only-for-pride-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"Elder Holland's Commencement at SUU","elder-holland-at-suu-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"BYU Public Health Department Promotes Healthy Discourse┬á","byu-public-health-department-promotes-healthy-discourse-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"Shane Reese Named President of BYU","shane-reese-named-president-of-byu-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"Pro-life Bill in Utah Passes","pro-life-bill-in-utah-passes",news,politics,news,"news + politics keywords",PUBLISHED
"Club Speakers Insinuate Obama's Election Caused High White Suicide, Donors Influenced V-ball Story Backtrack","club-speakers-insinuate-increase-of-white-suicide-from-obamas-election-donors-influenced-volleyball-story-the-cougar-chronicle",news,politics,news,"news + politics keywords",PUBLISHED
"Hormone Therapy Doesn't Cause Infertility Until it Does: Intermountain Healthcare","hormone-therapy-doesnt-cause-infertility-until-it-does-intermountain-healthcare-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"Family, Dreams, and Grit: Angela Duckworth Forum","family-dreams-and-grit-angela-duckworth-forum-the-cougar-chronicle",news,family,news,"news + family keywords",PUBLISHED
"The Woke BYU Civic Engagement Office","the-woke-byu-civic-engagement-office-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"BYU Antiracism Database","byu-antiracism-database-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"North Korean Survivor Draws Parallels Between North Korea and Woke America, BYU Students Attend","north-korean-survivor-draws-parallels-between-north-korea-and-woke-america-byu-students-attend-the-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"BREAKING: Intermountain Healthcare doctor has done top surgery on minors. Intermountain's Primary Children's Hospital website appears to hide gender clinic as ""GeMS""","breaking-intermountain-healthcare-doctor-has-done-top-surgery-on-minors-intermountains-primary-childrens-hospital-website-appears-to-hide-gender-clinic-as-gems-the-cougar-chronicle",news,politics,news,"news + politics keywords",PUBLISHED
"Instagram's Child Porn Problem in Light of Utah Senate Bill 152","instagrams-child-porn-problem-the-cougar-chronicle",news,politics,news,"news + politics keywords",PUBLISHED
"Yeshiva University President, Rabbi Ari Berman, Gives Forum Address to BYU Students on the Covenant in Education","yeshiva-university-president-rabbi-ari-berman-gives-forum-address-to-byu-students-on-the-covenant-in-education",news,news,news,"default campus/news desk",PUBLISHED
"Robert Putnam and Shaylyn Romney Address the Wheatly Institute on the ""Upswing""","robert-putnam-and-shaylyn-romney-address-the-wheatly-institute-on-the-upswing-byu-conservative-cougar-chronicle",news,news,news,"default campus/news desk",PUBLISHED
"Bill Banning Gender Surgeries on Minors Passes, Chloe Cole Addresses the Damage of Gender Transition","bill-banning-gender-surgeries-on-minors-passes-chloe-cole-addresses-the-damage-of-gender-tranisition",news,politics,news,"news + politics keywords",PUBLISHED
"Elder and Sister Holland Share Messages of Hope, Simplicity, and Perserverance","elder-holland-shares-message-of-hope-simplicity-and-perserverance",news,news,news,"default campus/news desk",PUBLISHED
"Editorial: The Birth of Christ, King of Kings, the Prince of Peace","celebrate-with-us-as-we-celebrate-the-birth-of-jesus-christ",news,faith,news,"news + faith keywords",PUBLISHED
"BYU Classes Teach Ibram Kendi While he has Called Religious Missionary Work Racist","syllabi-from-byu-recently-posted-show-his-writings-being-used-in-classes-even-when-he-has-called-missionary-work-racist",news,faith,news,"news + faith keywords",PUBLISHED
"BYU Professor, ""I don't know the morals here"" When Speaking on Abortion","byu-professor-i-dont-know-the-morals-here-when-speaking-on-abortion",news,news,news,"default campus/news desk",PUBLISHED
