title,slug,oldCategory,newSection,newFormat,reason,state
"What I Learned From an Atheist at BYU","what-i-learned-from-an-atheist-at-byu",faith,faith,news,"was category=faith",PUBLISHED
"President and Sister Reese Welcome BYU Students","president-and-sister-reese-welcome-byu-students",faith,faith,news,"was category=faith",PUBLISHED
"Expanding Religious Education Opportunities for Adult Latter-day Saints","expanding-religious-education-opportunities-for-adult-latter-day-saints",faith,faith,news,"was category=faith",PUBLISHED
"Sister J. Anette Dennis: Peace Amidst Uncertainty","sister-j-anette-dennis-peace-amidst-turmoil",faith,faith,news,"was category=faith",PUBLISHED
"Phil Lyman Sets Record for Most Write-In Votes in Non-Presidential Election","phil-lyman-sets-record-for-most-write-in-votes-in-non-presidential-election",faith,faith,news,"was category=faith",PUBLISHED
"'You Probably DonΓÇÖt Believe the Book of Mormon' ΓÇô Anti-Trump Professor Doubles Down","you-probably-dont-believe-the-book-of-mormon-anti-trump-professor-doubles-down",faith,faith,news,"was category=faith",PUBLISHED
"BYU Professor Quotes Scripture to Condemn Trump Voters","byu-professor-quotes-scripture-to-condemn-trump-voters",faith,faith,news,"was category=faith",PUBLISHED
"Dallas Jenkins: Giving it All to God","dallas-jenkins-giving-it-all-to-god",faith,faith,news,"was category=faith",PUBLISHED
"BYU Newspaper Blocks Comments, Justifies Use of Pro-Abortion Euphemism","byu-newspaper-blocks-comments-justifies-use-of-pro-abortion-euphemism",faith,faith,news,"was category=faith",PUBLISHED
"Elder Takashi Wada: Cultivating Charity","elder-takashi-wada-cultivating-charity-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Shima Baughman: Giving Our Hearts to Christ","shima-baughman-giving-our-hearts-to-christ-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Utah Ranked #3 in Heritage FoundationΓÇÖs Annual Education Report","utah-ranked-3-in-heritage-foundations-annual-education-report-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Love Alone is Not Enough","love-alone-is-not-enough-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"BYU Ignores Student Complaints Against ΓÇÿBlack MenacesΓÇÖ for Months, Other Complaints Addressed Immediately","student-complaints-against-black-menaces-ignored-by-byu-for-months-other-complaints-addressed-immediately",faith,faith,news,"was category=faith",PUBLISHED
"Thoughts on Elder and Sister CorbittΓÇÖs Prospective Missionary Devotional","thoughts-on-elder-and-sister-corbitts-prospective-missionary-devotional-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Elder Cook, President Reese Attend Robert George Lecture on ""The Constitution and Civic Virtue""","elder-cook-president-reese-attend-robert-george-lecture-on-the-constitution-and-civic-virtue-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"BYU Global WomenΓÇÖs Studies Lecture: Political Equality, Christianity, and the Family","byu-global-womens-studies-lecture-political-equality-christianity-and-the-family-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Love and Truth in ""Intelligence and Affection""","love-and-truth-in-intelligence-and-affection-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Assumption Budgeting: The Cost of Belief","assumption-budgeting-the-cost-of-belief-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Book Review: Natural Law and Human Rights","book-review-natural-law-and-human-rights-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"President and Sister Reese: BYUΓÇÖs Double Heritage","president-and-sister-reese-byus-double-heritage-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Why Choose a Gun?","why-choose-a-gun-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"How Republicans Should Tackle Abortion","how-republicans-should-tackle-abortion-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"2023 First Presidency Christmas Devotional: Highlights","2023-first-presidency-christmas-devotional-highlights-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Thoughts: Elder and Sister Cook's Worldwide Devotional","thoughts-elder-and-sister-cooks-worldwide-devotional-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"The Honor Code and the Church","the-honor-code-and-the-church",faith,faith,news,"was category=faith",PUBLISHED
"The Inviolability of Agency","the-inviolability-of-agency-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"BYU WomenΓÇÖs Empowerment Event Receives Mixed Reactions; Sister Johnson Shines","byu-womens-empowerment-event-receives-mixed-reactions-sister-johson-shines-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"The Baseball of On-Campus Governance","the-baseball-of-on-campus-governance-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"""Inequity,"" not ""Iniquity"": Visiting ASU Professor Speaks on Equity and the Book of Mormon","inequity-not-iniquity-visiting-asu-professor-speaks-on-equity-and-the-book-of-mormon-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"General Conference Recap: President Nelson, A Prophet of God","general-conference-recap-president-nelson-a-prophet-of-god",faith,faith,news,"was category=faith",PUBLISHED
"President Eyring's Message of Comfort","president-eyrings-message-of-comfort-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"The ChurchΓÇÖs Pro-life Awakening: Latter-day Saints Are Becoming More Pro-Life","the-churchs-pro-life-awakening-latter-day-saints-are-becoming-more-pro-life-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"9 Back to School Tips for BYU Students to Succeed","9-back-to-school-tips-for-byu-students-to-succeed-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Publication Raises Questions About Maxwell InstituteΓÇÖs Path","publication-raises-questions-about-maxwell-institutes-path-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"The Fall of Roe: A Moment of Celebration and a Call to Action for Latter-day Saints","the-fall-of-roe-a-moment-of-celebration-and-a-call-to-action-for-latter-day-saints-the-coug-chron",faith,faith,news,"was category=faith",PUBLISHED
"Founder of Organization that Promotes ""gender-affirming medical care"" Speaks at BYU Women's Conference","founder-of-organization-that-promotes-gender-affirming-medical-care-speaks-at-byu-womens-conference",faith,faith,news,"was category=faith",PUBLISHED
"A Wall of Separation: Church, Faith, and State","a-wall-of-separation-church-faith-and-state",faith,faith,news,"was category=faith",PUBLISHED
"Elder Gong Devotional: Our Own Best Story","elder-gong-our-own-best-story-the-cougar-chronicle",faith,faith,news,"was category=faith",PUBLISHED
"BYU Cancels Debate Event on Abortion: Beams before Motes","byu-cancels-debate-event-on-abortion-beams-before-motes-the-cougar-chronicle-canceled",faith,faith,news,"was category=faith",PUBLISHED
"President Nelson Signals the Need for Peacemakers","president-nelson-signals-the-need-for-peacemakers-the-cougar-chronicle-general-conference",faith,faith,news,"was category=faith",PUBLISHED
"Opinion: Consent's Sandy Foundation","opinion-consents-sandy-foundation-the-cougar-chronicle",faith,faith,news,"was category=faith",PUBLISHED
"Study: Decrease in Religious Practice Leads to Increase in Deaths of Despair","study-decrease-in-religious-practice-leads-to-increase-in-deaths-of-despair-the-cougar-chronicle",faith,faith,news,"was category=faith",PUBLISHED
"The SEC and the Church of Jesus Christ of Latter-day Saints","the-sec-and-the-church-of-jesus-christ-of-latter-day-saints-the-cougar-chronicle",faith,faith,news,"was category=faith",PUBLISHED
"Political Reaction to President Corbitt's Speech on Activism in the Church","opinion-political-reaction-to-president-corbitts-speech-on-activism-in-the-church",faith,faith,news,"was category=faith",PUBLISHED
"Exclusive: Man Who Struck Sister Missionaries Set to Be Released From Jail Only 12 Months Later","exclusive-man-who-struck-sister-missionaries-set-to-be-released-from-jail-only-12-months-later",news,news,news,"default campus/news desk",PUBLISHED
"Church Comms Dept. Features Man Who Sells Merch Mocking Church","church-comms-dept-features-man-who-sells-merch-mocking-church",news,faith,news,"news + faith keywords",PUBLISHED
"EXCLUSIVE: Provo City Council to Vote on Major Parking Cuts Near BYU","provo-council-votes-to-cut-byu-parking-requirements-by-50",news,politics,news,"campus+politics ΓåÆ politics",PUBLISHED
"Salt Lake Councilwoman Calls for a $130k Raise While Abusing Office Budgets for Personal Travel","councilwomanwants-180k-part-time-salary-can-t-stay-within-travel-budget",news,news,news,"default campus/news desk",PUBLISHED
"BREAKING NEWS: Taco Bell Gone from Cougareat, Unknown Replacement Coming by Fall","breaking-news-taco-bell-gone-from-cougareat-unknown-replacement-coming-by-fall",news,news,news,"default campus/news desk",PUBLISHED
"EXCLUSIVE: Inside Karianne Lisonbee's Energetic Congressional Campaign","exclusive-inside-karianne-lisonbee-s-energetic-congressional-campaign",news,politics,news,"news + politics keywords",PUBLISHED
"Exclusive: Inside UVUΓÇÖs Extremist Student Groups","exclusive-inside-uvus-extremist-student-groups",news,news,news,"default campus/news desk",PUBLISHED
"Governor Cox Signs Bill Banning Transgender Treatments for Minors┬á","governor-cox-signs-bill-banning-transgender-treatments-for-minors",news,politics,news,"news + politics keywords",PUBLISHED
"BYUSA Presidential Candidates Vogel and Parr Are Preserving BYUΓÇÖs Purpose","byusa-presidential-candidates-vogel-and-parr-are-preserving-byus-purpose",news,politics,news,"campus+politics ΓåÆ politics",PUBLISHED
"ItΓÇÖs Now or Never: Why Utah Conservatives MUST Sign to Repeal Prop 4","its-now-or-never-why-utah-conservatives-must-sign-to-repeal-prop-4",news,news,news,"default campus/news desk",PUBLISHED
"Utah's 11th Annual March for Life Pushes Lawmakers to Defend the Unborn","utahs-11th-annual-march-for-life-pushes-lawmakers-to-defend-the-unborn",news,news,news,"default campus/news desk",PUBLISHED
"BYU ΓÇ£Anti-Racism ClubΓÇ¥ Promotes Openly Racist Literature Despite University Rules Against Political Activism","byu-anti-racism-club-promotes-openly-racist-literature-despite-university-rules-against-political-activism",news,politics,news,"campus+politics ΓåÆ politics",PUBLISHED
"BYUΓÇÖs Tempest-Tossed Men And How To Rescue Them","byus-tempest-tossed-men-and-how-to-rescue-them",news,news,news,"default campus/news desk",PUBLISHED
"Breaking: UVU Student Association Votes AGAINST Charlie Kirk Memorial","breaking-uvu-student-association-votes-against-charlie-kirk-memorial",news,news,news,"default campus/news desk",PUBLISHED
"Utah Policy Change Allows 15-Year-Olds to Alter Birth Gender With Minimal Restrictions","utah-policy-change-allows-15-year-olds-to-alter-birth-gender-with-minimal-restrictions",news,family,news,"news + family keywords",PUBLISHED
"Young Utahns Celebrate Charlie Kirk's Birthday at State Capitol","young-utahns-celebrate-charlie-kirks-birthday-at-state-capitol",news,politics,news,"news + politics keywords",PUBLISHED
"Christian Faith Emerges from Mourning at Charlie Kirk's Memorial Service","christian-faith-emerges-from-mourning-at-charlie-kirks-memorial-service",news,faith,news,"news + faith keywords",PUBLISHED
"Say His Name: UVUΓÇÖs Hollow Vigil for KirkΓÇÖs Assassination","say-his-name-uvus-hollow-vigil-for-kirks-assassination",news,news,news,"default campus/news desk",PUBLISHED
"Charlie Kirk to Visit Utah Campuses, Protests Expected","charlie-kirk-to-visit-utah-campuses-protests-expected",news,news,news,"default campus/news desk",PUBLISHED
"Senator Mike LeeΓÇÖs Big Beautiful Step Toward an Affordable Utah","senator-mike-lees-big-beautiful-step-toward-an-affordable-utah",news,news,news,"default campus/news desk",PUBLISHED
"Coming Soon: The Cougar Chronicle Print Edition","coming-soon-the-cougar-chronicle-print-edition",news,news,news,"default campus/news desk",PUBLISHED
"This is Y: Jenet EricksonΓÇÖs┬áLecture Promotes Covenants, Family","this-is-y-jenet-ericksons-lecture-promotes-covenants-family",news,family,news,"news + family keywords",PUBLISHED
"Mapleton 8th Grade English Guide Suggests Students Write Sexual Content, Kept Quiet from Parents","mapleton-8th-grade-writing-guide-suggests-sexual-content-kept-quiet-from-parents",news,family,news,"news + family keywords",PUBLISHED
"UtahΓÇÖs Newest Election Law: Reform or Bust?","utahs-newest-election-law-reform-or-bust",news,politics,news,"news + politics keywords",PUBLISHED
"Governor Cox's DEI Bluff","governor-coxs-dei-bluff",news,politics,news,"news + politics keywords",PUBLISHED
"Providence Student Section Chants ΓÇÿFΓÇö the Mormons,ΓÇÖ Athletic Director Apologizes","providence-student-section-chants-f-the-mormons-athletic-director-apologizes",news,news,news,"default campus/news desk",PUBLISHED
"WhatΓÇÖs the Deal with Utah Elections?","whats-the-deal-with-utah-elections",news,news,news,"default campus/news desk",PUBLISHED
"Dr. Melissa Kearney: Making Strong Families a Priority","dr-melissa-kearney-making-strong-families-a-priority-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
"Double Standards: BYU Newspaper Shifts Tone on Trump Victory","double-standards-byu-newspaper-shifts-tone-on-trump-victory",news,politics,news,"campus+politics ΓåÆ politics",PUBLISHED
"Having Courage Among Cowards: Exclusive Interview with Riley Gaines","having-courage-among-cowards-exclusive-interview-with-riley-gaines",news,news,news,"default campus/news desk",PUBLISHED
"Elder Patrick Kearon: The Church of Joy","elder-patrick-kearon-the-church-of-joy-the-coug-chron",news,faith,news,"news + faith keywords",PUBLISHED
"Gov. Cox Flip-Flops, Applauds Push-Back Against Male Participation in Women's Sports","gov-cox-flip-flops-applauds-push-back-against-male-participation-in-womens-sports-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
"BYU Rocked By Lack of Palestine Protests, Anti-Semitism","byu-rocked-by-lack-of-palestine-protests-anti-semitism-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
"The Big Rip of Democracy","the-big-rip-of-democracy-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
"Former Employee ΓÇÿShockedΓÇÖ at Potential Security Breach Posed by BYU Head of Security's LGBTQ Banquet","former-employee-shocked-at-potential-security-breach-posed-by-byu-head-of-securitys-lgbtq-banquet-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
"BYU Security Head Holds Secret Meetings with LGBT Activists, Praises ""Brilliant"" Rainbow Y Lighting","byu-security-head-holds-secret-meetings-with-lgbt-activists-praises-brilliant-rainbow-y-lighting",news,news,news,"default campus/news desk",PUBLISHED
"UPDATED: RaYnbow Collective Vice President was scheduled to Host Panel at BYUΓÇÖs Annual WomenΓÇÖs Conference Before Silent Removal","raynbow-collective-vice-president-to-host-panel-at-byus-annual-womens-conference-the-coug-chron",news,news,news,"default campus/news desk",PUBLISHED
